id	text	title
291	San Jose (; Spanish : St. Joseph ) is the third-largest city in California , the tenth-largest in the U.S., and the county seat of Santa Clara County which is located at the southern end of San Francisco Bay .	San Jose, California
292	"It was first developed by Siemens in the mid-1990s and introduced by Mercedes-Benz under the name ""Keyless Go"" in 1998 on the W220 S-Class following its design patent filed by Daimler-Benz on May 17, 1997."	Smart key
293	As a medical diagnosis, pedophilia or paedophilia is a psychiatric disorder in persons 16 years of age or older typically characterized by a primary or exclusive sexual interest toward prepubescent children (generally age 11 years or younger, though specific diagnosis criteria for the disorder extends the cut-off point for prepubescence to age 13).	Pedophilia
294	Over one million Jewish children were killed in the Holocaust, as were approximately two million Jewish women and three million Jewish men.	The Holocaust
295	Kennedy was assassinated on November 22, 1963 in Dallas , Texas.	John F. Kennedy
296	The total number of voting representatives is fixed by law at 435.	United States House of Representatives
297	Silk is a natural protein fibre , some forms of which can be woven into textiles .	Silk
298	Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS .	Late Show with David Letterman
299	Uncle Sam (initials U.S.) is a common national personification of the American government that, according to legend, came into use during the War of 1812 and was supposedly named for Samuel Wilson .	Uncle Sam
300	"Karma ( Sanskrit , also karman, Pāli : Kamma) means ""action"" or ""doing""; whatever one does, says, or thinks is a karma."	Karma in Buddhism
301	In Buddhism , the term karma is used specifically for those actions which spring from the intention (Sanskrit: cetanā , Pali: cetana) of an unenlightened being.	Karma in Buddhism
302	"As one scholar states, ""the Buddhist theory of action and result (karmaphala) is fundamental to much of Buddhist doctrine, because it provides a coherent model of the functioning of the world and its beings, which in turn forms the doctrinal basis for the Buddhist explanations of the path of liberation from the world and its result, nirvāṇa ."""	Karma in Buddhism
303	Cyberstalking is the use of the Internet or other electronic means to stalk or harass an individual, a group of individuals, or an organization.	Cyberstalking
304	The plunger can be pulled and pushed along inside a cylindrical tube (called a barrel), allowing the syringe to take in and expel a liquid or gas through an at the open end of the tube.	Syringe
305	Tilapia ( ) is the common name for nearly a hundred species of cichlid fish from the tilapiine cichlid tribe .	Tilapia
306	He died on June 3, 2009, apparently of auto-erotic asphyxiation .	David Carradine
307	As of the last census of agriculture in 2007, there were 2.2 million farms, covering an area of , an average of per farm.	Agriculture in the United States
308	The Mpemba effect, named after Tanzanian student Erasto Mpemba , is the assertion that warmer water can freeze faster than colder water.	Mpemba effect
309	Bowel obstruction (or intestinal obstruction) is a mechanical or functional obstruction of the intestines, preventing the normal transit of the products of digestion.	Bowel obstruction
310	Quality Food Centers (QFC) is a supermarket chain based in Bellevue, Washington , with 64 stores in the Puget Sound region of Washington state and in the Portland, Oregon metropolitan area.	QFC
311	There is strong empirical evidence of a direct relation between money-supply growth and long-term price inflation, at least for rapid increases in the amount of money in the economy.	Money supply
312	Today's Special is a Canadian children's television show produced by Clive VanderBurgh at TVOntario from 1981 to 1987.	Today's Special
313	"It is caused by having something cold touch the roof of the mouth ( palate ), and is believed to result from a nerve response causing rapid constriction and swelling of blood vessels or a "" referring "" of pain from the roof of the mouth to the head."	Ice-cream headache
314	"The song's Scots title may be translated into English literally as ""old long since"", or more idiomatically, ""long long ago"", ""days gone by"" or ""old times""."	Auld Lang Syne
315	Leeroy Jenkins, sometimes misspelled Leroy Jenkins and often elongated with numerous additional letters, is an Internet meme named for a player character created by Ben Schulz in Blizzard Entertainment 's MMORPG , World of Warcraft .	Leeroy Jenkins
316	U.S. President George H. W. Bush deployed U.S. forces into Saudi Arabia , and urged other countries to send their own forces to the scene.	Gulf War
317	Cycles are uncommon in Major League Baseball (MLB), and have occurred 294 times since the first by Curry Foley in 1882.	Hitting for the cycle
318	"The cycle is roughly as common as a no-hitter (279 occurrences in MLB history); it has been called ""one of the rarest"" and ""most difficult feats"" in baseball."	Hitting for the cycle
319	A total of 121 episodes of Lost were produced, the last of which aired on May 23, 2010.	List of Lost episodes
320	Flat feet (also called pes planus or fallen arches) is a formal reference to a medical condition in which the arch of the foot collapses, with the entire sole of the foot coming into complete or near-complete contact with the ground.	Flat feet
321	Demographers, historians and commentators use beginning birth dates from the early 1960s to the early 1980s .	Generation X
322	His premature death in a car crash cemented his legendary status.	James Dean
323	Radioluminescence , production of luminescence in a material by the bombardment of ionizing radiation	Glow-in-the-dark
324	Around 650 BC, it rose to become the dominant military land-power in ancient Greece.	Sparta
325	Fantasy football is an interactive competition in which users compete against each other as general managers of virtual teams.	Fantasy football (American)
326	There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.	List of muscles of the human body
327	Examples range from 640 to 850.	List of muscles of the human body
328	The standard gold bar held as gold reserves by central banks and traded among bullion dealers is the 400-troy-ounce (12.4 kg or 438.9 ounces) Good Delivery gold bar.	Gold bar
329	The kilobar, which is to say 1000 grams in mass, is the bar that is more manageable and is used extensively for trading and investment.	Gold bar
330	Bolingbrook is a large village in Will and DuPage Counties in the U.S. state of Illinois .	Bolingbrook, Illinois
331	He is the father of current Denver Broncos quarterback Peyton Manning , current New York Giants starting quarterback Eli Manning , and former Ole Miss receiver Cooper Manning .	Archie Manning
332	Advocacy is a political process by an individual or group which aims to influence public-policy and resource allocation decisions within political, economic, and social systems and institutions.	Advocacy
333	Red, white, and green are the colors of the national liberation army in Mexico.	Flag of Mexico
334	Males also engage in ritualized mating behaviors during the rut , including posturing, antler wrestling (sparring), and bugling, a loud series of vocalizations which establishes dominance over other males and attracts females.	Elk
335	The Constitution has been amended seventeen additional times (for a total of twenty-seven amendments).	United States Constitution
336	The George Washington University (GW, GWU, or George Washington) is a comprehensive private , coeducational research university located in Washington, D.C. .	George Washington University
337	Today it is the second largest religion in the country with results from the United Kingdom Census 2011 suggesting that by 2011 the total Muslim population had reached 2.7 million, 4.8% of the total population.	Islam in the United Kingdom
338	The vast majority of Muslims in the United Kingdom live in England and Wales : of 1,591,000 Muslims recorded at the 2001 Census, 1,536,015 were living in England and Wales , where they formed 3% of the population in 2001; 42,557 were living in Scotland , forming 0.84% of the population; and 1,943 were living in Northern Ireland .	Islam in the United Kingdom
339	It is played by two teams, eleven players to a side, who advance an oval ball over a rectangular field that is 120 yards long by 53.3 yards wide and has goalposts at both ends.	American football
340	The temporal lobes are involved in the retention of visual memories , processing sensory input, comprehending language , storing new memories, emotion, and deriving meaning.	Temporal lobe
341	Humans have two lungs , a right lung and a left lung.	Human lung
342	The Battle of Iwo Jima (19 February – 26 March 1945), or Operation Detachment, was a major battle in which the United States Armed Forces fought for and captured the island of Iwo Jima from the Japanese Empire .	Battle of Iwo Jima
343	The margarita is a Mexican cocktail consisting of tequila mixed with Cointreau or similar orange -flavoured liqueur and lime or lemon juice , often served with salt on the glass rim.	Margarita
344	Burgundy is a dark red color associated with the Burgundy wine of the same name, which in turn is named after the Burgundy region of France .	Burgundy (color)
345	The color burgundy is similar to other shades of dark red such as maroon .	Burgundy (color)
346	The population was 5,193 at the 2010 census.	Center, Texas
347	It occurs when using a photographic flash very close to the camera lens (as with most compact cameras ), in ambient low light.	Red-eye effect
348	In meteorology , a cloud is a visible mass of liquid droplets or frozen crystals made of water or various chemicals suspended in the atmosphere above the surface of a planetary body.	Cloud
349	The campus is the 6th-largest in the UC system by enrollment with 18,977 undergraduate and 2,950 graduate students.	University of California, Santa Barbara
350	Saint Joseph's Day, March 19, the Feast of St. Joseph is in Western Christianity the principal feast day of Saint Joseph , Spouse of the Blessed Virgin Mary .	Saint Joseph's Day
351	Mariah Carey (born March 27, 1970) is an American singer , songwriter , record producer , actress , and philanthropist .	Mariah Carey
352	The first color cinematography was by means of additive color systems such as the one patented in England by Edward Raymond Turner in 1899 and tested in 1902.	Color motion picture film
353	A simplified additive system was developed by George Albert Smith and successfully commercialized in 1909 as Kinemacolor .	Color motion picture film
354	"Ashanti wrote and sang background on Jennifer Lopez 's "" Ain't It Funny (Murder Remix) "", which reached number one on Billboard Hot 100, which was also in the top 10 chart at the same time as ""Foolish"", ""Always on Time"" (with Ja Rule ), and ""What's Luv"" (with Fat Joe )."	Ashanti (entertainer)
355	The AAF was a component of the United States Army , which in 1942 was divided functionally by executive order into three autonomous forces: the Army Ground Forces , the Services of Supply (which in 1943 became the Army Service Forces ), and the AAF.	United States Army Air Forces
356	The game was played on February 6, 2011, at Cowboys Stadium in Arlington, Texas , the first time the Super Bowl was played in the Dallas–Fort Worth area.	Super Bowl XLV
357	The Freedom of Information Act (FOIA) is a federal freedom of information law that allows for the full or partial disclosure of previously unreleased information and documents controlled by the United States government .	Freedom of Information Act (United States)
358	The European Union (EU) is an economic and political union of 27 member states that are located primarily in Europe .	European Union
359	Overall, there were an estimated 254.4 million registered passenger vehicles in the United States according to a 2007 DOT study.	Passenger vehicles in the United States
360	A medical laboratory or clinical laboratory is a laboratory where tests are done on clinical specimens in order to get information about the health of a patient as pertaining to the diagnosis, treatment, and prevention of disease.	Medical laboratory
361	These hand rankings are also used in some other card games , and in poker dice .	List of poker hands
362	Its basic function is to transport water, but it also transports some nutrients through the plant.	Xylem
363	He has won the All-Star MVP Award four times ( 2002 , 2007 , 2009 , and 2011 ), tying him for the most All Star MVP Awards in NBA history.	Kobe Bryant
364	Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures .	Jehovah's Witnesses
365	They believe that the destruction of the present world system at Armageddon is imminent, and that the establishment of God's kingdom on earth is the only solution for all problems faced by mankind.	Jehovah's Witnesses
366	Windows XP was released worldwide for retail sale on October 25, 2001, and over 400 million copies were in use in January 2006.	Windows XP
367	In chess, each player begins the game with eight pawns, one on each square of the rank immediately in front of the other pieces.	Pawn (chess)
368	Nations that permit gay people to serve openly in the military include the 4 of the 5 members of the UN Security Council (United States, United Kingdom, France, and Russia), the Republic of China (Taiwan), Australia , Israel , South Africa , Argentina , and all NATO members excluding Turkey .	Sexual orientation and military service
369	A diaphragm pump (also known as a Membrane pump, Air Operated Double Diaphragm Pump (AODD) or Pneumatic Diaphragm Pump) is a positive displacement pump that uses a combination of the reciprocating action of a rubber , thermoplastic or teflon diaphragm and suitable valves either side of the diaphragm ( check valve , butterfly valves, flap valves, or any other form of shut-off valves) to pump a fluid .	Diaphragm pump
370	Currently the dominant technology for direct production is steam reforming from hydrocarbons .	Hydrogen production
371	1 basis point = 1 permyriad = one one-hundredth percent	Basis point
372	1 bp = 1 = 0.01% = 0.1‰ = 10−4 = = 0.0001	Basis point
373	The relationship between percentage changes and basis points can be summarized as follows: 1 percentage point change = 100 basis points, and 0.01 percentage points = 1 basis point.	Basis point
374	The Bloody Beetroots is the pseudonym of Sir Bob Cornelius Rifo, the Italian electro house and dance-punk music producer , DJ and photographer .	The Bloody Beetroots
375	Madrid (, ) is the capital and largest city of Spain .	Madrid
376	Rogue waves seem not to have a single distinct cause, but occur where physical factors such as high winds and strong currents cause waves to merge to create a single exceptionally large wave.	Rogue wave
377	Later, after a disfiguring car crash in 1956, and alcohol and prescription drug abuse, he became erratic.	Montgomery Clift
378	Indian Americans are citizens of the United States of Indian ancestry and comprise about 3.18 million people, or ~1.0% of the U.S. population, the country's third largest self-reported Asian ancestral group after Chinese Americans and Filipino Americans according to American Community Survey of 2010 data.	Indian American
379	The main causes of World War II were nationalistic issues, unresolved issues, and resentments resulting from World War I and the interwar period in Europe, in addition to the effects of the Great Depression in the 1930s.	Causes of World War II
380	The culmination of events that led to the outbreak of war are generally understood to be the 1939 invasion of Poland by Germany and Soviet Russia and the 1937 invasion of the Republic of China by the Empire of Japan .	Causes of World War II
381	In 2007, Knight's co-star Isaiah Washington ( Preston Burke ) insulted him with a homophobic slur, which resulted in the termination of Washington's Grey's Anatomy contract.	George O'Malley
382	In 2009, after the conclusion of the fifth season , it was confirmed that Knight would not be returning for the show's sixth season .	George O'Malley
383	"The actor stated the reason for his departure was due to a ""breakdown in communication"" with Rhimes, his character's lack of screen time, as well as his decision to be openly gay ."	George O'Malley
384	Despite this, his death received mixed feedback.	George O'Malley
385	The disease incidence is 3–30 cases per million per year and rising as a result of increased awareness.	Myasthenia Gravis
386	The $1.1 billion casino hotel features 2,002 rooms and is the largest hotel in New Jersey .	The Borgata
387	The largest Muslim country is Indonesia , home to 12.7% of the world's Muslims, followed by Pakistan (11.0%), India (10.9%), and Bangladesh (9.2%).	Islam by country
388	Dubai ( ; ', ) is a city in the United Arab Emirates , located within the emirate of the same name.	Dubai
389	Approximately 72% of the planet's surface (~3.6x108 km2) is covered by saline water that is customarily divided into several principal oceans and smaller seas, with the ocean covering approximately 71% of the Earth's surface.	Ocean
390	Root beer is a carbonated , sweetened beverage , originally made using the root of a sassafras plant (or the bark of a sassafras tree) as the primary flavor.	Root beer
391	Also controversial was the price tag of $1.5 billion, which makes it not only the most expensive baseball stadium ever built, but the second-most expensive stadium of any kind (after MetLife Stadium in East Rutherford, New Jersey ).	Yankee Stadium
392	Informal logic, intuitively, refers to the principles of logic and logical thought outside of a formal setting.	Informal logic
393	Turkey (), officially the Republic of Turkey , is a transcontinental country , located mostly on Anatolia in Western Asia and on East Thrace in Southeastern Europe .	Turkey
394	Turkey is bordered by eight countries: Bulgaria to the northwest; Greece to the west; Georgia to the northeast; Armenia , Iran and the Azerbaijani exclave of Nakhchivan to the east; and Iraq and Syria to the southeast.	Turkey
395	Augusta is the principal city of the Augusta – Richmond County Metropolitan Statistical Area , which as of 2010 had an estimated population of 556,877, making it both the second-largest city and the second-largest metro area in the state after Atlanta .	Augusta, Georgia
396	The show has been renewed for a fourth season.	The Glades (TV series)
397	He has sold more than 100 million records worldwide, including 42 million tracks and 49.1 million albums in the United States.	Eminem
398	Pigs are omnivores and are highly social and intelligent animals.	Pig
399	In baseball , a cutter, or cut fastball, is a type of fastball which breaks slightly toward the pitcher 's glove side as it reaches home plate .	Cutter (baseball)
400	What It Takes is a power ballad by American hard rock band Aerosmith .	What It Takes (song)
401	It was released in 1990 as the third single from Aerosmith's critically and commercially successful 1989 album Pump .	What It Takes (song)
402	Erie is a Statutory Town in Boulder and Weld counties in the U.S. state of Colorado .	Erie, Colorado
403	Lack of access to water and a relatively dry rain season crippled the agricultural production of the colonists.	Starving Time
404	A fleet from England, damaged by a hurricane, arrived months behind schedule with new colonists, but without expected food supplies.	Starving Time
405	There is scientific evidence that the settlers at Jamestown had turned to cannibalism during the starving time.	Starving Time
406	The humanities are academic disciplines that study human culture, using methods that are primarily analytical , critical , or speculative , and having a significant historical element, as distinguished from the mainly empirical approaches of the natural sciences .	Humanities
407	The humanities include ancient and modern languages , literature , philosophy , religion , and visual and performing arts such as music and theatre .	Humanities
408	The humanities that are also regarded as social sciences include history , anthropology , area studies , communication studies , cultural studies , law , economics and linguistics .	Humanities
409	Human disciplines like history , cultural anthropology and psychoanalysis study subject matters to which the experimental method does not apply, and they have access instead to the comparative method and comparative research .	Humanities
410	The President of the United States of America (POTUS) is the head of state and head of government of the United States .	President of the United States
411	The president leads the executive branch of the federal government and is the commander-in-chief of the United States Armed Forces .	President of the United States
412	The president is further empowered to grant federal pardons and reprieves , and to convene and adjourn either or both houses of Congress under extraordinary circumstances.	President of the United States
413	Afghan cuisine is largely based upon the nation's chief crops; cereals like wheat , maize , barley and rice .	Afghan cuisine
414	Accompanying these staples are dairy products ( yogurt and whey ), various nuts , and native vegetables, as well as fresh and dried fruits; Afghanistan is well known for its grapes .	Afghan cuisine
415	Volcanic pipes are relatively rare.	Volcanic pipe
416	On May 11, 2012, the series was renewed for a ninth season, which premiered on September 27, 2012.	Grey's Anatomy
417	Diagnosis is based on observed behavior and the patient's reported experiences.	Schizophrenia
418	The tri-tip is a cut of beef from the bottom sirloin primal cut .	Tri-tip
419	It is a small triangular muscle , usually 1.5 to 2.5 lbs. (675 to 1,150g) per side of beef.	Tri-tip
420	Willmar is a city in, and the county seat of, Kandiyohi County , Minnesota , United States .	Willmar, Minnesota
421	Microsoft Corporation is an American multinational software corporation headquartered in Redmond , Washington that develops, manufactures, licenses, and supports a wide range of products and services related to computing .	Microsoft
422	Weather is driven by air pressure (temperature and moisture) differences between one place and another.	Weather
423	In 2012, there were 88 states in total (60 sovereign states and 28 non-sovereign states).	List of countries where English is an official language
424	Although geographically this includes Southern and part of Southeast ( São Paulo ) of Brazil , in terms of political geography the Southern cone has traditionally comprised Argentina , Chile , Paraguay , and Uruguay .	Southern Cone
425	In the narrowest sense, it only covers Argentina , Chile and Uruguay , bounded on the north by the states of Brazil, Paraguay, Bolivia and Peru, on the west by the Pacific Ocean, and south to the junction between the Pacific and Atlantic Oceans, which it is the closest continental area of Antarctica (1000 km).	Southern Cone
426	Since most professional baseball games are nine innings long, the fifth inning is used as the threshold for an official game.	Official game
427	It was formerly listed as the Combat Applications Group by the Department of Defense but has since been officially re-designated the Army Compartmented Elements (ACE).	Delta Force
428	Seasons result from the yearly revolution of the Earth around the Sun and the tilt of the Earth's axis relative to the plane of revolution.	Season
429	3G, short for third Generation, is the third generation of mobile telecommunications technology.	3G
430	good luck) is a phrase used to express congratulations for a happy and significant occasion or event.	Mazel tov
431	HCV is spread primarily by blood-to-blood contact associated with intravenous drug use , poorly sterilized medical equipment and transfusions .	Hepatitis C
432	An FSA allows an employee to set aside a portion of earnings to pay for qualified expenses as established in the cafeteria plan, most commonly for medical expenses but often for dependent care or other expenses.	Flexible spending account
433	Tennessee was the last state to leave the Union and join the Confederacy at the outbreak of the U.S. Civil War in 1861, and the first state to be readmitted to the Union at the end of the war.	Tennessee
434	It is composed of 30 teams — 29 in the United States and one in Canada.	Major league baseball
435	Coatesville is a town in Clay Township , Hendricks County , Indiana , United States .	Coatesville, Indiana
436	Delaware was one of the 13 colonies participating in the American Revolution and on December 7, 1787, became the first state to ratify the Constitution of the United States , thereby becoming known as The First State.	Delaware
437	Twenty-seven amendments have been ratified since the original signing of the Constitution, the first ten of which are known collectively as the Bill of Rights .	List of amendments to the United States Constitution
438	Fidelity Investments manages a large family of mutual funds , provides fund distribution and investment advice services, as well as providing discount brokerage services , retirement services, wealth management , securities execution and clearance, life insurance and a number of other services.	Fidelity Investments
439	Thunder is the sound caused by lightning .	Thunder
440	In turn, this expansion of air creates a sonic shock wave, similar to a sonic boom , which produces the sound of thunder, often referred to as a clap, crack, or peal of thunder.	Thunder
441	It is observed on the third Monday of January each year, which is around the time of King's birthday, January 15.	Martin Luther King, Jr. Day
442	Area code 949 is an area code in California that is contained mostly within South Orange County .	Area code 949
443	A continual improvement process, also often called a continuous improvement process (abbreviated as CIP or CI), is an ongoing effort to improve products, services, or processes.	Continual improvement process
444	Area code 810 is the telephone area code serving eastern Michigan .	Area code 810
445	"After a gestation period of about 65 days, two to five young, known as ""kits"", are born in spring."	Raccoon
446	The 2010 Haiti earthquake was a catastrophic magnitude 7.0 Mw earthquake , with an epicenter near the town of Léogâne ( Ouest Department ), approximately west of Port-au-Prince , Haiti's capital.	2010 Haiti earthquake
447	"The stars of the show were Mister Ed, a palomino horse who could ""talk"", played by gelding Bamboo Harvester and voiced by former Western star Allan Lane (who went uncredited for the entire length of the series), and his owner, an eccentric and enormously klutzy , yet friendly, architect named Wilbur Post ( Alan Young )."	Mister Ed
448	"The Rapture is a term in Christian eschatology which refers to the ""being caught up"" discussed in 1 Thessalonians 4:17, when the ""dead in Christ"" and ""we who are alive and remain"" will be ""caught up in the clouds"" to meet ""the Lord in the air""."	Rapture
449	Kris Nathan Humphries (born February 6, 1985) is an American professional basketball player with the Brooklyn Nets .	Kris Humphries
450	"A balance sheet is often described as a ""snapshot of a company's financial condition""."	Balance sheet
451	.17 Hornady Magnum Rimfire, commonly known as the .17 HMR, is a rimfire rifle cartridge developed by the ammunition company Hornady in 2002.	.17 HMR
452	It remains the deadliest war in American history , resulting in the deaths of an estimated 750,000 soldiers and an undetermined number of civilian casualties.	American Civil War
453	It is available as a commercial product in many countries, with similar variations in ingredients, cooking method, and other variables.	Potato bread
454	Stereo 8 was created in 1964 by a consortium led by Bill Lear of Lear Jet Corporation, along with Ampex , Ford Motor Company , General Motors , Motorola , and RCA Victor Records (RCA).	8-track tape
455	"Points, sometimes also called a ""discount point"", are a form of pre-paid interest ."	Point (mortgage)
456	But the underlying political conflicts had not been resolved, and on the Ides of March (15 March) 44 BC, Caesar was assassinated by a group of senators led by Marcus Junius Brutus .	Julius caesar
457	The official language of Nigeria, English , the former colonial language, was chosen to facilitate the cultural and linguistic unity of the country.	Languages of Nigeria
458	It is also the band's last album recorded with Ace Frehley credited as an official member (until 1998's Psycho Circus ), and its first album with Vinnie Vincent as the initially uncredited lead guitarist (Vincent would later be credited, but not featured pictorially on the cover, of 1985's reissue of the album ).	Creatures of the Night
459	White Christmas is an Irving Berlin song reminiscing about an old-fashioned Christmas setting .	White Christmas (song)
460	Cross-country skiing is part of the Nordic skiing sport family, which includes ski jumping , Nordic combined (cross-country skiing and ski jumping), Biathlon (skiing and rifle marksmanship ) and ski-orienteering (which includes map navigation along snow trails and tracks).	Cross-country skiing
461	A use tax in United States is complementary to sales tax which means, if you buy a Taxable product/services without paying any Sales tax to vendor, you owe use tax.	Use tax
462	"Use tax is also termed as ""Consumption Tax"" or ""Consumer Use Tax""."	Use tax
463	A use tax is a type of excise tax levied in the United States by numerous state governments.	Use tax
464	"A fiscal year (or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations."	Fiscal year
465	It was first identified by Dr. Ernst von Romberg in 1891.	Pulmonary hypertension
466	In computer science , array programming languages (also known as vector or multidimensional languages) generalize operations on scalars to apply transparently to vectors , matrices , and higher dimensional arrays.	Array programming
467	Array programming primitives concisely express broad ideas about data manipulation.	Array programming
468	"The sentence ""Rose is a rose is a rose is a rose."" was written by Gertrude Stein as part of the 1913 poem Sacred Emily, which appeared in the 1922 book Geography and Plays."	Rose is a rose is a rose is a rose
469	A notary public (or notary or public notary) in the common law world is a public officer constituted by law to serve the public in non-contentious matters usually concerned with estates, deeds, powers-of-attorney, and foreign and international business.	Notary public
470	A notary's main functions are to administer oaths and affirmations, take affidavits and statutory declarations , witness and authenticate the execution of certain classes of documents, take acknowledgments of deeds and other conveyances, protest notes and bills of exchange, provide notice of foreign drafts, prepare marine or ship's protests in cases of damage, provide exemplifications and notarial copies, and perform certain other official acts depending on the jurisdiction .	Notary public
471	The Cold War, often dated from 1947 to 1991, was a sustained state of political and military tension between powers in the Western Bloc , dominated by the United States with NATO among its allies, and powers in the Eastern Bloc , dominated by the Soviet Union along with the Warsaw Pact .	Cold War
472	Pikes Peak State Park is a state park of Iowa , USA, featuring a bluff overlooking the Upper Mississippi River opposite the confluence of the Wisconsin River .	Pikes Peak State Park
473	Jakarta (), officially known as the Special Capital Region of Jakarta (), is the capital and largest city of Indonesia .	Jakarta
474	"6 Foot 7 Foot (also styled as ""6'7"") is a song by American rapper Lil Wayne featuring label mate, Cory Gunz ."	6 Foot 7 Foot
475	An index (plural: indexes) is a list of words or phrases ('headings') and associated pointers ('locators') to where useful material relating to that heading can be found in a document.	Index (publishing)
476	The English version was performed by Limahl and Beth Anderson ; the French version was performed by Limahl and Ann Calvert.	The NeverEnding Story (song)
477	In United States financial regulation , a suspicious activity report (or SAR) is a report made by a financial institution to the Financial Crimes Enforcement Network (FinCEN), an agency of the United States Department of the Treasury , regarding suspicious or potentially suspicious activity.	Suspicious activity report
478	It was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes .	Facebook
479	The original antibacterial sulfonamides (sometimes called sulfa drugs or sulpha drugs) are synthetic antimicrobial agents that contain the sulfonamide group.	Sulfonamide (medicine)
480	"Risk of infection is a nursing diagnosis which is defined as ""the state in which an individual is at risk to be invaded by an opportunistic or pathogenic agent ( virus , fungus , bacteria , protozoa , or other parasite ) from endogenous or exogenous sources"" and was approved by NANDA in 1986."	Risk of infection
481	Joe's Crab Shack is an American chain of beach-themed seafood casual dining restaurants owned by Ignite Restaurant Group .	Joe's Crab Shack
482	New York City Cruise Liner Terminal in Hell's Kitchen at 52nd Street .	New York Passenger Ship Terminal
483	Christian right is a term used in the United States to describe right-wing Christian political groups that are characterized by their strong support of socially conservative policies.	Christian right
484	Nicolas Cage stars as a suicidal alcoholic who has ended his personal and professional life to drink himself to death in Las Vegas .	Leaving Las Vegas
485	A coordinate measuring machine is a device for measuring the physical geometrical characteristics of an object.	Coordinate-measuring machine
486	"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight."	Body water
487	In a newborn infant, this may be as high as 75 percent of the body weight, but it progressively decreases from birth to old age, most of the decrease occurring during the first 10 years of life.	Body water
488	LR44 is the IEC designation for an alkaline 1.5 volt button cell , commonly used in small LED flashlights , digital thermometers , calculators , calipers , watches , clocks , toys and laser pointers .	LR44 battery
489	Hurricane Katrina was the deadliest and most destructive Atlantic hurricane of the 2005 Atlantic hurricane season .	Hurricane Katrina
490	Hurricane Katrina formed over the Bahamas on August 23, 2005 and crossed southern Florida as a moderate Category 1 hurricane , causing some deaths and flooding there before strengthening rapidly in the Gulf of Mexico .	Hurricane Katrina
491	"In basketball , an assist is attributed to a player who passes the ball to a teammate in a way that leads to a score by field goal , meaning that he or she was ""assisting"" in the basket."	Assist (basketball)
492	The mill or mille () (sometimes mil in the UK , when discussing property taxes in the United States , or previously in Cyprus and Malta ) is a now-abstract unit of currency used sometimes in accounting .	Mill (currency)
493	The Greco-Persian Wars (also often called the Persian Wars) were a series of conflicts between the Achaemenid Empire of Persia and city-states of the Hellenic world that started in 499 BC and lasted until 449 BC.	Greco-Persian Wars
494	In 494 BC, the Persians regrouped, and attacked the epicentre of the revolt in Miletus.	Greco-Persian Wars
495	At the Battle of Lade , the Ionians suffered a decisive defeat, and the rebellion collapsed, with the final members being stamped out the following year.	Greco-Persian Wars
496	Seeking to secure his empire from further revolts and from the interference of the mainland Greeks, Darius embarked on a scheme to conquer Greece and to punish Athens and Eretria for burning Sardis.	Greco-Persian Wars
497	The actions of the general Pausanias at the siege of Byzantium alienated many of the Greek states from the Spartans, and the anti-Persian alliance was therefore reconstituted around Athenian leadership, as the so-called Delian League .	Greco-Persian Wars
498	At the Battle of the Eurymedon in 466 BC, the League won a double victory that finally secured freedom for the cities of Ionia.	Greco-Persian Wars
499	A fleet was sent to Cyprus in 451 BC, but achieved little, and when it withdrew the Greco-Persian Wars drew to a quiet end.	Greco-Persian Wars
500	Child care or day care is the care of a child during the day by a person other than the child's legal guardians , typically performed by someone outside the child's immediate family .	Day care
501	With a prediction by Urbain Le Verrier , telescopic observations confirming the existence of a major planet were made on the night of September 23–24, 1846, at the Berlin Observatory , by astronomer Johann Gottfried Galle (assisted by Heinrich Louis d'Arrest ), working from Le Verrier's calculations.	Discovery of Neptune
502	What Separates Me from You is the fourth studio album by American metalcore / pop punk band A Day to Remember .	What Separates Me from You
503	The plum pudding model of the atom by J. J. Thomson , who discovered the electron in 1897, was proposed in 1904 before the discovery of the atomic nucleus in order to add the electron to the atomic model.	Plum pudding model
504	"It is usually made from side and back cuts of pork, except in the United States, where it is almost always prepared from pork belly (typically referred to as ""streaky"", ""fatty"", or ""American style"" outside of the US and Canada)."	Bacon
505	The Employee Retirement Income Security Act of 1974 (ERISA) (, codified in part at ) is a federal law which establishes minimum standards for pension plans in private industry and provides for extensive rules on the federal income tax effects of transactions associated with employee benefit plans.	Employee Retirement Income Security Act
506	ERISA was enacted to protect the interests of employee benefit plan participants and their beneficiaries by:	Employee Retirement Income Security Act
507	According to a 2005 Pew Hispanic Center report, 56% of undocumented immigrants were from Mexico ; 22% were from other Latin American countries; 13% were from Asia; 6% were from Europe and Canada; and 3% were from Africa and the rest of the world.	Illegal immigration to the United States
